year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
2018,21921,female,90.4498188046712,84.2273259003732,a75,ai
2018,21921,male,92.72004672588828,88.7612573965244,a75,ai
2018,21921,total,123.56487769144306,118.80186198266335,a75,ai
2018,30051,female,3.191697278627017,3.066233445033919,a75,ai
2018,30051,male,4.7911463609370735,4.118793739060893,a75,ai
2018,30051,total,5.54853434996683,5.4733613481574395,a75,ai
2018,30052,female,50.84722989696808,42.49907329636716,a75,ai
2018,30052,male,49.978228101153995,41.47865179836697,a75,ai
2018,30052,total,96.62253354878814,80.90633406382341,a75,ai
2018,30060,female,167.40820253717982,140.32561605287972,a75,ai
2018,30060,male,230.20925633344336,195.64831946746844,a75,ai
2018,30060,total,380.9205224367754,326.2451271849846,a75,ai
2018,30420,female,153.61679368429023,129.61895270978593,a75,ai
2018,30420,male,89.979555072709,75.57528073513042,a75,ai
2018,30420,total,246.72338215172164,206.56769014758072,a75,ai
2014,10110,female,74.95845344968218,70.45447373403928,a90,ai
2014,10110,male,46.81587943931624,43.856143335002336,a90,ai
2014,10110,total,115.79505618313416,108.96177232908116,a90,ai
2014,21720,female,99.77328694927265,95.16641012851186,a90,ai
2014,21720,male,108.71074140155594,103.45526440866166,a90,ai
2014,21720,total,155.69686632606297,149.00556342120052,a90,ai
2014,21740,female,6.974516054958679,6.925319425126233,a90,ai
2014,21740,male,7.527684059439682,7.432918899007179,a90,ai
2014,21740,total,7.450059247458596,7.3996665776569985,a90,ai
2014,21921,female,56.6291535102882,53.93535648627952,a90,ai
2014,21921,male,50.464863693489455,48.858057562245634,a90,ai
2014,21921,total,76.49353803065614,74.40173299524554,a90,ai
2014,30051,female,3.598179625646314,3.5456895058166165,a90,ai
2014,30051,male,5.777177009272723,5.423857516355327,a90,ai
2014,30051,total,6.347171793863232,5.85809912026783,a90,ai
2014,30052,female,64.8252369708656,61.82731216947833,a90,ai
2014,30052,male,73.27996707433527,69.52322207818523,a90,ai
2014,30052,total,128.83284179299335,123.00758810825144,a90,ai
2014,30060,female,143.8070440207783,138.08614574785955,a90,ai
2014,30060,male,140.63496728978865,134.26468477631357,a90,ai
2014,30060,total,230.44580621586263,222.19608439007644,a90,ai
2014,30420,female,83.20276128451283,79.16060820788056,a90,ai
2014,30420,male,73.0712235118632,69.17257176784646,a90,ai
2014,30420,total,142.52058444264722,136.11163741244374,a90,ai
2016,10110,female,140.1051458489477,130.65975186624877,a90,ai
2016,10110,male,50.64873901617254,47.7829342836382,a90,ai
2016,10110,total,129.6143893002232,122.49734664246158,a90,ai
2016,10112,female,69.2636230410605,65.97490302965612,a90,ai
2016,10112,male,67.48181275028017,64.69211565828692,a90,ai
2016,10112,total,103.89882183820724,99.81092017130204,a90,ai
2016,21720,female,104.52994322590772,99.09789087975987,a90,ai
2016,21720,male,114.60573439367008,107.30829096615082,a90,ai
2016,21720,total,154.4582891847051,146.40822792679666,a90,ai
2016,21740,female,52.36878737455821,51.54344218876105,a90,ai
2016,21740,male,20.68938683097302,20.47849224717901,a90,ai
2016,21740,total,35.827122269832245,35.59457042747242,a90,ai
2016,21921,female,25.66451648138034,24.740889757885963,a90,ai
2016,21921,male,32.6310072909321,31.48397900773296,a90,ai
2016,21921,total,38.790272953208415,37.93200802556755,a90,ai
2016,30052,female,52.667515053886554,50.197417289453035,a90,ai
2016,30052,male,60.63628607018198,56.65555088383877,a90,ai
2016,30052,total,108.4671675303491,102.87324234754804,a90,ai
2016,30060,female,201.6944144290765,191.99909375474195,a90,ai
2016,30060,male,261.46189255836117,246.2325527846586,a90,ai
2016,30060,total,430.22283504000256,408.01934008930095,a90,ai
2016,30420,female,150.23637465460374,142.13975279758924,a90,ai
2016,30420,male,70.47750563247236,66.10120374613395,a90,ai
2016,30420,total,211.91938517954745,200.4451273457357,a90,ai
2018,10110,female,139.51884842011972,130.66893854618525,a90,ai
2018,10110,male,95.5416913154452,89.2622692768689,a90,ai
2018,10110,total,200.54392842699485,189.15370834045677,a90,ai
2018,10112,female,88.5915882725563,84.37980119302945,a90,ai
